	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
83	PBMD-4CVS-GPU	PFOSD	13	0	28	2	0	C13Br0/NH2	-7.557173676770239	0.386743766885805	CCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(N)(Br)Br	C13H19Br10N	3.507332906178334	0.6526114497005832	-7.557173676770239	0.386743766885805	-11.064506582948573	0.5256719157947045	True	1.0074204206466675	-2.76503586769104	-3.1890816688537598	-0.6823266744613647	-0.9935136437416077
91	PBMD-4CVS-GPU	PFOSD	9	0	22	1	1	C9Br0/NH1(CH3)1	-2.84153500462015	0.4125436883405612	CNCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C10H10Br13N	3.3626680533607196	0.5187241399545012	-2.84153500462015	0.4125436883405612	-6.20420305798087	0.3144557816003751	True	5.118544578552246	-4.151077747344971	-2.3812272548675537	1.5053625106811523	1.805623173713684
120	PBMD-4CVS-GPU	PFOSD	10	0	26	0	2	C10Br0/P(CH3)2	-5.142114772655592	0.657027908793021	CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)P(C)C	C12H13Br14P	0.8494468781950948	1.162588022135121	-5.142114772655592	0.657027908793021	-5.991561650850687	0.9591273305870928	True	23.97840118408203	-0.7077420949935913	-4.158670902252197	3.7995445728302	1.8156276941299438
122	PBMD-4CVS-GPU	PFOSD	10	0	26	0	2	C10Br0/N(CH3)2	-5.618545415813835	0.8226936869009636	CN(C)CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C12H12Br15N	3.239689787883745	0.850103338098121	-5.618545415813835	0.8226936869009636	-8.85823520369758	0.2141279593581082	True	24.482419967651367	1.0558165311813354	-2.2259695529937744	4.012824535369873	-0.7512116432189941
124	PBMD-4CVS-GPU	PFOSD	13	0	30	1	1	C13Br0/NH1(CH3)1	-7.201277756054568	0.3267940312964271	CNCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C14H16Br15N	3.282130631078016	0.3586801907130551	-7.201277756054568	0.3267940312964271	-10.483408387132584	0.1478416055073247	True	25.27444076538086	1.6378331184387207	-2.2467339038848877	3.592975378036499	0.17895857989788055
162	PBMD-4CVS-GPU	PFOSD	12	0	32	0	3	C12Br0/N(CH3)3	-5.11980447125186	0.2367569282805795	CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)[N+](C)(C)C	C15H18Br16N	2.2393793450045827	0.9334705210668459	-5.11980447125186	0.2367569282805795	-7.359183816256443	0.9029470475127284	True	38.639652252197266	3.3549342155456543	-1.5694928169250488	5.843836307525635	3.991956949234009
170	PBMD-4CVS-GPU	PFOSD	10	19	7	0	2	C10Cl19/N(CH3)2	-6.352859234658454	1.0437204206106845	CN(C)CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C12H8Cl19N	0.4851000527634248	1.690331964208708	-6.352859234658454	1.0437204206106845	-6.837959287421879	1.3296126627051672	True	40.6236457824707	2.1927130222320557	-2.321533441543579	1.5426678657531738	0.2782928943634033
172	PBMD-4CVS-GPU	PFOSD	13	0	32	0	2	C13Br0/P(CH3)2	-7.914363996386396	0.2990608169538093	CP(C)CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C15H14Br19P	2.134425532047227	0.5257273951320148	-7.914363996386396	0.2990608169538093	-10.048789528433623	0.4323793724904251	True	40.88814163208008	-3.60478138923645	1.4445325136184692	7.545867443084717	3.8111982345581055
173	PBMD-4CVS-GPU	PFOSD	13	19	11	1	1	C13Cl19/NH1(CH3)1	-7.557173676770239	0.386743766885805	CNCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C14H12Cl19N	3.507332906178334	0.6526114497005832	-7.557173676770239	0.386743766885805	-11.064506582948573	0.5256719157947045	True	41.39467239379883	3.214188814163208	-2.2168569564819336	0.9767895340919495	0.7417889833450317
176	PBMD-4CVS-GPU	PFOSD	10	0	26	0	2	C10Br0/P(CH3)2	-3.923761540415345	0.4437233873900283	CP(C)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(C)(Br)Br	C12H9Br18P	6.348768688228146	0.7958937152687078	-3.923761540415345	0.4437233873900283	-10.272530228643491	0.6607241190446628	True	42.425296783447266	2.939411163330078	-1.6094255447387695	5.932332992553711	1.5379048585891724
179	PBMD-4CVS-GPU	PFOSD	13	0	28	2	0	C13Br0/NH2	-7.825800120856269	0.4105914620210128	NCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C13H10Br19N	0.4120418443826397	0.5672601275619626	-7.825800120856269	0.4105914620210128	-8.237841965238909	0.3914060597858205	True	42.655296325683594	7.048548221588135	-2.4262499809265137	3.303539991378784	1.1264113187789917
189	PBMD-4CVS-GPU	PFOSD	11	0	30	0	3	C11Br0/N(CH3)3	-3.873157742555695	0.2079544609323552	C[N+](C)(C)CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C14H13Br19N	2.0430647830632145	0.8812170676594915	-3.873157742555695	0.2079544609323552	-5.91622252561891	0.8563284781628638	True	44.28337097167969	-0.5556551218032837	0.9768696427345276	9.647012710571289	-1.3283518552780151
195	PBMD-4CVS-GPU	PFOSD	11	0	28	0	2	C11Br0/P(CH3)2	-4.111801955770064	0.1171015433788681	CP(C)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(C)(Br)Br	C13H9Br20P	1.2207651201604595	0.5283676116265779	-4.111801955770064	0.1171015433788681	-5.332567075930523	0.5152276793362924	True	46.22727966308594	3.7859742641448975	-2.321049690246582	4.449512958526611	1.9057936668395996
