	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
7	PBMD-4CVS-GPU	PFOSD	3	0	12	0	2	C3F0/N(CH3)2	-0.8201005889280696	0.2880977498267769	CCCN(C)C	C5H13N	0.6523019435941287	0.32037259462855117	-0.8201005889280696	0.2880977498267769	-1.4724025325221983	0.1401366687693762	True	-48.8874626159668	9.188026428222656	0.4648151397705078	-3.888767957687378	11.57654857635498
45	PBMD-4CVS-GPU	PFOSD	3	7	1	2	0	C3F7/NH2	0.4278890760547075	0.3340099943985369	NC(F)(F)C(F)(F)C(F)(F)F	C3H2F7N	0.7730465754485447	0.40106199200674947	0.4278890760547075	0.3340099943985369	-0.3451574993938373	0.2220091103407951	True	-27.249343872070312	2.0235633850097656	1.9524357318878174	-2.8327395915985107	-2.8775343894958496
49	PBMD-4CVS-GPU	PFOSD	3	7	3	1	1	C3F7/NH1(CH3)1	-1.3876550761896398	0.2220364842092512	CNC(F)(F)C(F)(F)C(F)(F)F	C4H4F7N	-0.02441946200361622	0.2794318418952983	-1.3876550761896398	0.2220364842092512	-1.3632356141860236	0.1696524504538438	True	-26.48105239868164	1.383717656135559	1.8296899795532227	-2.6918036937713623	-2.1948094367980957
51	PBMD-4CVS-GPU	PFOSD	3	7	5	0	2	C3F7/N(CH3)2	-1.5734289187143111	0.3986797533502195	CN(C)C(F)(F)C(F)(F)C(F)(F)F	C5H6F7N	1.5006658553643697	0.43586670933423133	-1.5734289187143111	0.3986797533502195	-3.074094774078681	0.1761653841549453	True	-23.691991806030273	0.14592505991458893	2.4374377727508545	-2.1297671794891357	-1.8638179302215576
60	PBMD-4CVS-GPU	PFOSD	3	7	7	0	3	C3F7/N(CH3)3	-1.3174771552377966	0.1666401363817369	C[N+](C)(C)C(F)(F)C(F)(F)C(F)(F)F	C6H9F7N	0.24225886004635955	0.4020954605680375	-1.3174771552377966	0.1666401363817369	-1.5597360152841562	0.3659396457834247	True	-20.069499969482422	-0.3434641361236572	1.1122074127197266	-1.094150185585022	-4.1659255027771
190	PBMD-4CVS-GPU	PFOSD	11	16	14	0	3	C11Cl16/N(CH3)3	-6.802832210461833	0.3652062617861907	CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)[N+](C)(C)C	C14H16Cl16N	1.558085428949024	0.6799957785674154	-6.802832210461833	0.3652062617861907	-8.360917639410857	0.5736014689849233	True	44.89984893798828	4.846259117126465	-3.5419342517852783	-3.338775634765625	-3.1910765171051025
1	PBMD-4CVS-GPU	PFOSD	5	0	12	2	0	C5F0/PH2	-1.163281183946957	0.5519347967351477	CCCCCP	C5H13P	0.9336176013357689	0.5935870507870354	-1.163281183946957	0.5519347967351477	-2.096898785282726	0.2184343540173609	True	-50.80595397949219	9.146260261535645	-0.1899157017469406	-4.205206394195557	13.358531951904297
40	PBMD-4CVS-GPU	PFOSD	10	3	23	0	2	C10F3/P(CH3)2	-5.424424456180294	0.4163707219396168	CP(C)CCCCCCCCCC(F)(F)F	C12H24F3P	1.797855082950016	0.42548430382169206	-5.424424456180294	0.4163707219396168	-7.22227953913031	0.087591750240033	True	-29.224735260009766	-0.3768917918205261	4.196746349334717	3.6179542541503906	-4.146519184112549
62	PBMD-4CVS-GPU	PFOSD	9	0	26	0	3	C9Br0/N(CH3)3	-4.696079841458874	0.3187383243840582	C[N+](C)(C)CCCCCCCC(Br)(Br)C(Br)(Br)Br	C12H23Br5N	-1.6693783946430427	0.33745292053199555	-4.696079841458874	0.3187383243840582	-3.0267014468158315	0.1108167593120111	True	-18.741056442260742	-2.636152505874634	0.8198319673538208	3.8494813442230225	-4.671909809112549
81	PBMD-4CVS-GPU	PFOSD	13	8	24	0	2	C13Cl8/N(CH3)2	-6.3129457685212245	0.4940479487697773	CCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)N(C)C	C15H25Cl8N	1.9305674932494643	0.8593837986081432	-6.3129457685212245	0.4940479487697773	-8.243513261770689	0.7031764626511166	True	-2.065922975540161	-5.402502059936523	-3.3746488094329834	-3.359729528427124	-0.5684004426002502
