	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
48	PBMD-4CVS-GPU	PFOSD	11	0	24	2	0	C11Br0/NH2	-5.614629376134803	0.5837476922471602	CCCCCCCCCC(Br)(Br)C(N)(Br)Br	C11H21Br4N	2.3001549032216033	1.1129414354950637	-5.614629376134803	0.5837476922471602	-7.9147842793564065	0.9475638609813736	True	-26.676584243774414	1.4015251398086548	2.088456392288208	2.97670841217041	-1.640175461769104
54	PBMD-4CVS-GPU	PFOSD	8	0	22	0	2	C8Br0/N(CH3)2	-3.240692628394934	0.3602989052409381	CN(C)CCCCCCC(Br)(Br)C(Br)(Br)Br	C10H18Br5N	0.5855575844229182	0.4485824414434124	-3.240692628394934	0.3602989052409381	-3.826250212817852	0.2672281902298371	True	-22.787569046020508	1.802836537361145	0.22705495357513428	1.1143718957901	-4.573463439941406
68	PBMD-4CVS-GPU	PFOSD	12	0	32	0	3	C12Br0/N(CH3)3	-4.863407512574528	0.6329053285403128	C[N+](C)(C)CCCCCCCCCCC(Br)(Br)C(Br)(Br)Br	C15H29Br5N	0.3774030011833416	0.7306341025435399	-4.863407512574528	0.6329053285403128	-5.24081051375787	0.3650438835330387	True	-15.98058795928955	-3.410574197769165	-0.4893963038921356	4.489624500274658	-4.902157783508301
69	PBMD-4CVS-GPU	PFOSD	11	0	26	1	1	C11Br0/NH1(CH3)1	-6.2028452860230665	0.5165851041487177	CNCCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C12H20Br7N	2.400354549689281	0.6470716151542478	-6.2028452860230665	0.5165851041487177	-8.603199835712347	0.3896684556260431	True	-15.387677192687988	-1.2372376918792725	-0.37581896781921387	-0.1904657483100891	-0.09987822920084
70	PBMD-4CVS-GPU	PFOSD	4	9	5	0	2	C4Cl9/N(CH3)2	-3.966888747965772	0.0779364591163792	CN(C)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C6H6Cl9N	0.45738776773904455	0.3230100044888728	-3.966888747965772	0.0779364591163792	-4.4242765157048165	0.3134666989335591	True	-14.909608840942383	-3.7291712760925293	-4.621903896331787	-1.9473953247070312	0.4437890350818634
76	PBMD-4CVS-GPU	PFOSD	6	0	14	2	0	C6Br0/NH2	-3.486471822333588	0.1570870837667914	NCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C6H4Br11N	1.180771697954333	0.4293662739812949	-3.486471822333588	0.1570870837667914	-4.667243520287921	0.3995986052856359	True	-9.66035270690918	-8.296049118041992	-0.28691786527633667	3.6063144207000732	5.109523773193359
98	PBMD-4CVS-GPU	PFOSD	14	13	17	-1	-1	C14F13	-4.879774192199076	0.2198447644276494	CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C14H17F13	0.9900443159041972	0.24081695804754777	-4.879774192199076	0.2198447644276494	-5.869818508103273	0.0982908278377272	True	12.25273609161377	-4.195805072784424	4.070902347564697	-2.1951727867126465	-0.5381254553794861
102	PBMD-4CVS-GPU	PFOSD	9	14	6	2	0	C9F14/PH2	-3.347462939743736	0.3562233451749656	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)P	C9H7F14P	0.7073803355558428	0.46960153167147245	-3.347462939743736	0.3562233451749656	-4.054843275299579	0.305991056896358	True	13.630756378173828	-2.690023183822632	2.094794750213623	-5.661333084106445	-0.23141297698020935
103	PBMD-4CVS-GPU	PFOSD	7	13	9	0	3	C7Cl13/N(CH3)3	-6.074703722985157	0.3812584685757791	C[N+](C)(C)CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C10H11Cl13N	0.4045152957724536	0.3867953348707475	-6.074703722985157	0.3812584685757791	-6.47921901875761	0.0652120480971528	True	14.316635131835938	-3.2951114177703857	-5.4362945556640625	-1.1512384414672852	-1.3284696340560913
133	PBMD-4CVS-GPU	PFOSD	12	0	30	0	2	C12Br0/P(CH3)2	-8.811904368401214	0.538517734428274	CP(C)CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C14H16Br15P	0.6575655552555819	0.5960060157453023	-8.811904368401214	0.538517734428274	-9.469469923656796	0.255385630979561	True	28.30048179626465	-4.02278470993042	1.5779393911361694	7.130666255950928	2.436950445175171
200	PBMD-4CVS-GPU	PFOSD	13	0	32	0	2	C13Br0/N(CH3)2	-3.970669141410182	0.2890443127315796	CN(C)CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C15H12Br21N	4.012573435139236	0.5813687567592537	-3.970669141410182	0.2890443127315796	-7.983242576549418	0.5044234497060274	True	48.2459831237793	8.399142265319824	2.0691187381744385	7.152134895324707	-1.1694434881210327
